2025-11-21T18:24:01.325236 | political_interviews_271 | chunk 0 | prompt_tokens=17808, candidates_tokens=271, total_tokens=18939
2025-11-21T19:49:00.081837 | political_interviews_314 | chunk 3 | prompt_tokens=18449, candidates_tokens=194, total_tokens=19023
2025-11-21T19:49:18.223760 | political_interviews_26 | chunk 14 | prompt_tokens=7490, candidates_tokens=175, total_tokens=8050
2025-11-21T19:50:03.514660 | political_interviews_314 | chunk 4 | prompt_tokens=18141, candidates_tokens=240, total_tokens=19111
2025-11-21T19:50:17.020835 | political_interviews_26 | chunk 15 | prompt_tokens=17625, candidates_tokens=288, total_tokens=19379
2025-11-21T19:50:45.599357 | political_interviews_246 | chunk 0 | prompt_tokens=9035, candidates_tokens=337, total_tokens=10133
2025-11-21T19:51:23.831777 | political_interviews_314 | chunk 5 | prompt_tokens=20355, candidates_tokens=337, total_tokens=21786
2025-11-21T19:51:27.619236 | political_interviews_246 | chunk 1 | prompt_tokens=13355, candidates_tokens=385, total_tokens=14349
2025-11-21T19:52:03.289484 | political_interviews_246 | chunk 2 | prompt_tokens=11399, candidates_tokens=393, total_tokens=12664
2025-11-21T19:52:32.940891 | political_interviews_246 | chunk 3 | prompt_tokens=6796, candidates_tokens=433, total_tokens=8280
2025-11-21T19:52:46.186628 | political_interviews_314 | chunk 6 | prompt_tokens=20738, candidates_tokens=188, total_tokens=22170
2025-11-21T19:53:32.584410 | political_interviews_246 | chunk 4 | prompt_tokens=22178, candidates_tokens=380, total_tokens=23788
2025-11-21T19:53:45.477489 | political_interviews_314 | chunk 7 | prompt_tokens=17342, candidates_tokens=241, total_tokens=18231
2025-11-21T19:54:01.306617 | political_interviews_246 | chunk 5 | prompt_tokens=9160, candidates_tokens=471, total_tokens=10408
2025-11-21T19:54:16.101656 | political_interviews_246 | chunk 0 | prompt_tokens=11028, candidates_tokens=336, total_tokens=12078
2025-11-21T19:54:38.692326 | political_interviews_246 | chunk 6 | prompt_tokens=14275, candidates_tokens=303, total_tokens=15016
2025-11-21T19:54:58.734647 | political_interviews_246 | chunk 1 | prompt_tokens=13355, candidates_tokens=432, total_tokens=14709
2025-11-21T19:55:05.183620 | political_interviews_246 | chunk 7 | prompt_tokens=8186, candidates_tokens=284, total_tokens=8884
2025-11-21T19:55:38.964725 | political_interviews_246 | chunk 2 | prompt_tokens=11399, candidates_tokens=470, total_tokens=13066
2025-11-21T19:55:45.475726 | political_interviews_246 | chunk 8 | prompt_tokens=12273, candidates_tokens=346, total_tokens=13581
2025-11-21T19:56:04.154259 | political_interviews_246 | chunk 3 | prompt_tokens=6796, candidates_tokens=341, total_tokens=7794
2025-11-21T19:56:32.340329 | political_interviews_246 | chunk 9 | prompt_tokens=13405, candidates_tokens=476, total_tokens=14752
2025-11-21T19:56:57.103739 | political_interviews_246 | chunk 10 | prompt_tokens=5714, candidates_tokens=284, total_tokens=6643
2025-11-21T19:57:02.155271 | political_interviews_246 | chunk 4 | prompt_tokens=22178, candidates_tokens=398, total_tokens=23427
2025-11-21T19:57:29.362476 | political_interviews_246 | chunk 5 | prompt_tokens=9160, candidates_tokens=342, total_tokens=10299
2025-11-21T19:57:40.028526 | political_interviews_246 | chunk 11 | prompt_tokens=12864, candidates_tokens=269, total_tokens=14054
2025-11-21T19:58:02.461533 | political_interviews_246 | chunk 12 | prompt_tokens=5123, candidates_tokens=274, total_tokens=5891
2025-11-21T19:58:07.617231 | political_interviews_246 | chunk 6 | prompt_tokens=12764, candidates_tokens=308, total_tokens=14162
2025-11-21T19:58:44.081045 | political_interviews_246 | chunk 7 | prompt_tokens=10144, candidates_tokens=201, total_tokens=11040
2025-11-21T19:58:47.071522 | political_interviews_83 | chunk 0 | prompt_tokens=13972, candidates_tokens=153, total_tokens=14828
2025-11-21T19:59:25.760652 | political_interviews_246 | chunk 8 | prompt_tokens=13381, candidates_tokens=383, total_tokens=14639
2025-11-21T19:59:26.018433 | political_interviews_83 | chunk 2 | prompt_tokens=13072, candidates_tokens=154, total_tokens=13537
2025-11-21T19:59:49.260718 | political_interviews_83 | chunk 3 | prompt_tokens=6563, candidates_tokens=144, total_tokens=7175
2025-11-21T20:00:08.299445 | political_interviews_246 | chunk 9 | prompt_tokens=13405, candidates_tokens=373, total_tokens=14781
2025-11-21T20:00:17.372231 | political_interviews_83 | chunk 4 | prompt_tokens=9842, candidates_tokens=158, total_tokens=10634
2025-11-21T20:00:33.612935 | political_interviews_246 | chunk 10 | prompt_tokens=6620, candidates_tokens=347, total_tokens=7812
2025-11-21T20:00:59.584117 | political_interviews_83 | chunk 5 | prompt_tokens=13122, candidates_tokens=110, total_tokens=13469
2025-11-21T20:01:14.181582 | political_interviews_246 | chunk 11 | prompt_tokens=12864, candidates_tokens=324, total_tokens=13891
2025-11-21T20:01:23.084242 | political_interviews_83 | chunk 6 | prompt_tokens=6588, candidates_tokens=159, total_tokens=7038
2025-11-21T20:01:38.895501 | political_interviews_246 | chunk 12 | prompt_tokens=5123, candidates_tokens=366, total_tokens=6396
2025-11-21T20:01:46.657280 | political_interviews_83 | chunk 7 | prompt_tokens=6305, candidates_tokens=133, total_tokens=6708
2025-11-21T20:02:11.989598 | political_interviews_83 | chunk 8 | prompt_tokens=7154, candidates_tokens=199, total_tokens=7718
2025-11-21T20:02:13.086009 | political_interviews_83 | chunk 0 | prompt_tokens=12814, candidates_tokens=172, total_tokens=13386
2025-11-21T20:02:58.787603 | political_interviews_83 | chunk 2 | prompt_tokens=14567, candidates_tokens=137, total_tokens=14984
2025-11-21T20:03:01.563994 | political_interviews_83 | chunk 9 | prompt_tokens=19298, candidates_tokens=140, total_tokens=19784
2025-11-21T20:03:28.857592 | political_interviews_83 | chunk 3 | prompt_tokens=7503, candidates_tokens=151, total_tokens=7873
2025-11-21T20:03:30.936811 | political_interviews_83 | chunk 10 | prompt_tokens=8519, candidates_tokens=155, total_tokens=8865
2025-11-21T20:04:00.522773 | political_interviews_83 | chunk 4 | prompt_tokens=9842, candidates_tokens=151, total_tokens=10881
2025-11-21T20:04:12.979088 | political_interviews_83 | chunk 11 | prompt_tokens=14512, candidates_tokens=176, total_tokens=14998
2025-11-21T20:04:43.274514 | political_interviews_83 | chunk 5 | prompt_tokens=14271, candidates_tokens=179, total_tokens=14792
2025-11-21T20:04:56.788016 | political_interviews_83 | chunk 12 | prompt_tokens=13097, candidates_tokens=393, total_tokens=14478
2025-11-21T20:05:10.109980 | political_interviews_83 | chunk 6 | prompt_tokens=7503, candidates_tokens=119, total_tokens=7985
2025-11-21T20:05:31.124248 | political_interviews_83 | chunk 7 | prompt_tokens=6305, candidates_tokens=205, total_tokens=6770
2025-11-21T20:05:53.683817 | political_interviews_83 | chunk 8 | prompt_tokens=7154, candidates_tokens=195, total_tokens=7683
2025-11-21T20:06:42.081647 | political_interviews_83 | chunk 9 | prompt_tokens=19298, candidates_tokens=197, total_tokens=20003
2025-11-21T20:07:06.904020 | political_interviews_83 | chunk 10 | prompt_tokens=8519, candidates_tokens=176, total_tokens=8976
2025-11-21T20:07:49.749298 | political_interviews_83 | chunk 11 | prompt_tokens=14512, candidates_tokens=177, total_tokens=14964
2025-11-21T20:08:38.356774 | political_interviews_83 | chunk 12 | prompt_tokens=13097, candidates_tokens=401, total_tokens=14466
